payment_id,customer_id,amount,payment_method,subscription_type,status,failure_reason,retry_count,bank_response,recoverable,payment_date
PAY000001,CUST4657,918,Credit Card,Annual,SUCCESS,,2,Approved,0,2026-04-23 09:10:38.959140
PAY000002,CUST7912,24369,UPI,Monthly,SUCCESS,,0,Approved,0,2026-06-25 07:08:38.959140
PAY000003,CUST4257,7722,Wallet,Quarterly,SUCCESS,,0,Approved,0,2026-06-19 23:21:38.959140
PAY000004,CUST1106,19408,Credit Card,Annual,SUCCESS,,2,Approved,0,2026-08-04 03:41:38.959140
PAY000005,CUST6514,9204,UPI,Monthly,SUCCESS,,1,Approved,0,2026-04-17 23:57:38.959140
PAY000006,CUST5333,11862,UPI,Annual,SUCCESS,,2,Approved,0,2026-06-27 16:57:38.959140
PAY000007,CUST5803,4189,Wallet,Quarterly,SUCCESS,,3,Approved,0,2026-03-24 03:30:38.959140
PAY000008,CUST4733,23186,Debit Card,Monthly,SUCCESS,,0,Approved,0,2026-03-18 03:26:38.959140
PAY000009,CUST3664,3408,Debit Card,Quarterly,FAILED,UPI Failure,3,Timeout,1,2026-04-29 09:43:38.959140
PAY000010,CUST3803,8847,Wallet,Annual,SUCCESS,,0,Approved,0,2026-06-28 16:34:38.959140
PAY000011,CUST4598,15246,Debit Card,Monthly,SUCCESS,,3,Approved,0,2026-04-27 22:39:38.959140
PAY000012,CUST5386,1150,UPI,Monthly,SUCCESS,,2,Approved,0,2026-05-21 19:56:38.959140
PAY000013,CUST8517,18684,Credit Card,Quarterly,FAILED,UPI Failure,2,Processing Error,1,2026-04-17 12:12:38.959140
PAY000014,CUST8019,24510,Wallet,Quarterly,SUCCESS,,2,Approved,0,2026-07-23 18:59:38.959140
PAY000015,CUST1771,4631,UPI,Monthly,SUCCESS,,3,Approved,0,2026-03-26 08:25:38.959140
PAY000016,CUST2040,22397,Net Banking,Quarterly,SUCCESS,,3,Approved,0,2026-06-26 08:59:38.959140
PAY000017,CUST1188,15436,UPI,Annual,SUCCESS,,2,Approved,0,2026-06-18 12:18:38.959140
PAY000018,CUST5808,24703,Net Banking,Monthly,FAILED,User Cancelled,2,Approved,0,2026-07-27 17:17:38.959140
PAY000019,CUST3927,23760,Wallet,Monthly,SUCCESS,,2,Approved,0,2026-06-08 22:19:38.959140
PAY000020,CUST9837,9878,Wallet,Monthly,FAILED,User Cancelled,1,Declined,0,2026-04-06 14:59:38.959140
PAY000021,CUST6947,16109,Debit Card,Monthly,SUCCESS,,0,Approved,0,2026-03-30 03:59:38.959140
PAY000022,CUST8962,18690,UPI,Annual,SUCCESS,,0,Approved,0,2026-03-25 09:27:38.959140
PAY000023,CUST9645,4306,Wallet,Quarterly,FAILED,Bank Timeout,3,Timeout,1,2026-08-29 04:04:38.959140
PAY000024,CUST7118,17770,Net Banking,Annual,FAILED,Fraud Suspected,1,Processing Error,0,2026-07-17 14:09:38.959140
PAY000025,CUST6539,8222,UPI,Annual,SUCCESS,,1,Approved,0,2026-03-21 10:58:38.959140
PAY000026,CUST2163,19381,UPI,Monthly,SUCCESS,,1,Approved,0,2026-03-11 02:39:38.959140
PAY000027,CUST9423,1128,Credit Card,Quarterly,SUCCESS,,2,Approved,0,2026-03-22 16:48:38.959140
PAY000028,CUST8744,7119,Credit Card,Quarterly,SUCCESS,,1,Approved,0,2026-07-19 11:36:38.959140
PAY000029,CUST7939,6338,Net Banking,Quarterly,FAILED,Invalid CVV,0,Timeout,0,2026-03-27 10:43:38.959140
PAY000030,CUST2790,1874,Credit Card,Monthly,FAILED,Invalid CVV,0,Timeout,0,2026-03-20 20:03:38.959140
PAY000031,CUST4006,14799,Debit Card,Quarterly,SUCCESS,,1,Approved,0,2026-05-25 14:27:38.959140
PAY000032,CUST2604,2569,UPI,Annual,SUCCESS,,3,Approved,0,2026-08-03 21:32:38.959140
PAY000033,CUST7658,582,Net Banking,Quarterly,FAILED,Network Error,0,Declined,1,2026-08-25 10:35:38.959140
PAY000034,CUST7209,13240,UPI,Quarterly,SUCCESS,,0,Approved,0,2026-04-08 18:32:38.959140
PAY000035,CUST8973,15008,Credit Card,Monthly,SUCCESS,,2,Approved,0,2026-05-25 19:22:38.959140
PAY000036,CUST6138,2015,UPI,Monthly,SUCCESS,,0,Approved,0,2026-07-23 23:11:38.959140
PAY000037,CUST9320,16576,UPI,Monthly,SUCCESS,,1,Approved,0,2026-03-20 03:44:38.959140
PAY000038,CUST2964,2325,Wallet,Monthly,SUCCESS,,1,Approved,0,2026-05-22 07:21:38.959140
PAY000039,CUST9565,1401,Debit Card,Quarterly,SUCCESS,,0,Approved,0,2026-05-25 02:51:38.959140
PAY000040,CUST5351,23567,Net Banking,Monthly,SUCCESS,,2,Approved,0,2026-04-22 06:04:38.959140
PAY000041,CUST2188,9929,UPI,Quarterly,SUCCESS,,3,Approved,0,2026-05-06 08:37:38.959140
PAY000042,CUST9808,18547,Credit Card,Annual,SUCCESS,,0,Approved,0,2026-03-23 03:18:38.959140
PAY000043,CUST5002,11535,Debit Card,Quarterly,SUCCESS,,0,Approved,0,2026-08-16 20:49:38.959140
PAY000044,CUST9666,17899,UPI,Annual,SUCCESS,,2,Approved,0,2026-06-29 03:41:38.959140
PAY000045,CUST2891,9909,UPI,Annual,FAILED,Bank Timeout,0,Timeout,1,2026-08-27 17:28:38.959140
PAY000046,CUST4450,9023,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-06-27 21:46:38.959140
PAY000047,CUST1832,8749,UPI,Annual,SUCCESS,,3,Approved,0,2026-04-24 12:23:38.959140
PAY000048,CUST6464,9165,Credit Card,Annual,SUCCESS,,0,Approved,0,2026-03-10 10:43:38.959140
PAY000049,CUST1158,5393,UPI,Monthly,FAILED,Invalid CVV,3,Blocked,0,2026-06-18 05:33:38.959140
PAY000050,CUST3426,22742,Net Banking,Monthly,FAILED,Insufficient Funds,1,Timeout,1,2026-06-17 02:57:38.959140
PAY000051,CUST6862,12047,Credit Card,Annual,SUCCESS,,0,Approved,0,2026-08-20 10:41:38.959140
PAY000052,CUST7658,3467,Wallet,Annual,SUCCESS,,2,Approved,0,2026-07-29 19:36:38.959140
PAY000053,CUST3900,7856,Net Banking,Monthly,SUCCESS,,1,Approved,0,2026-08-02 09:59:38.959140
PAY000054,CUST5065,10984,Debit Card,Monthly,SUCCESS,,3,Approved,0,2026-08-02 20:15:38.959140
PAY000055,CUST4644,3641,Credit Card,Quarterly,FAILED,Insufficient Funds,3,Processing Error,1,2026-08-15 13:47:38.959140
PAY000056,CUST4164,7556,Net Banking,Quarterly,SUCCESS,,1,Approved,0,2026-03-14 02:37:38.959140
PAY000057,CUST9346,2373,Net Banking,Annual,SUCCESS,,2,Approved,0,2026-05-12 17:24:38.959140
PAY000058,CUST5279,17669,Credit Card,Annual,FAILED,Insufficient Funds,2,Approved,1,2026-08-27 18:49:38.959140
PAY000059,CUST6139,8797,Net Banking,Annual,FAILED,Invalid CVV,0,Timeout,0,2026-03-29 12:51:38.959140
PAY000060,CUST1727,3888,Net Banking,Monthly,FAILED,Network Error,3,Timeout,1,2026-08-20 13:13:38.959140
PAY000061,CUST8066,17742,UPI,Annual,SUCCESS,,1,Approved,0,2026-05-15 02:32:38.959140
PAY000062,CUST9308,20518,Debit Card,Annual,FAILED,Card Expired,2,Timeout,0,2026-07-08 13:37:38.959140
PAY000063,CUST3085,13284,Credit Card,Quarterly,SUCCESS,,2,Approved,0,2026-06-18 17:29:38.959140
PAY000064,CUST5930,12522,Net Banking,Annual,SUCCESS,,1,Approved,0,2026-06-29 20:27:38.959140
PAY000065,CUST6279,10056,Net Banking,Quarterly,FAILED,Invalid CVV,2,Blocked,0,2026-04-17 01:32:38.959140
PAY000066,CUST3780,7101,UPI,Quarterly,SUCCESS,,3,Approved,0,2026-08-01 07:06:38.959140
PAY000067,CUST4848,20839,Debit Card,Monthly,SUCCESS,,2,Approved,0,2026-03-26 19:14:38.959140
PAY000068,CUST2193,4927,Net Banking,Quarterly,FAILED,Network Error,0,Processing Error,1,2026-03-18 05:08:38.959140
PAY000069,CUST7547,18962,Credit Card,Monthly,FAILED,Invalid CVV,1,Processing Error,0,2026-07-18 13:44:38.959140
PAY000070,CUST7965,280,Credit Card,Monthly,SUCCESS,,0,Approved,0,2026-07-29 12:12:38.959140
PAY000071,CUST8478,22902,Credit Card,Quarterly,FAILED,Network Error,3,Approved,1,2026-03-18 22:38:38.959140
PAY000072,CUST8251,18413,Wallet,Annual,SUCCESS,,2,Approved,0,2026-08-29 18:01:38.959140
PAY000073,CUST8373,14082,Debit Card,Monthly,FAILED,Bank Timeout,3,Processing Error,1,2026-08-20 03:11:38.959140
PAY000074,CUST8206,9185,UPI,Annual,FAILED,Network Error,3,Timeout,1,2026-07-01 21:32:38.959140
PAY000075,CUST9849,9002,UPI,Monthly,SUCCESS,,2,Approved,0,2026-05-07 00:03:38.959140
PAY000076,CUST4505,12650,UPI,Quarterly,SUCCESS,,1,Approved,0,2026-07-16 09:37:38.959140
PAY000077,CUST2020,17879,Credit Card,Quarterly,SUCCESS,,3,Approved,0,2026-05-24 11:46:38.959140
PAY000078,CUST7232,19238,Net Banking,Monthly,SUCCESS,,0,Approved,0,2026-08-12 18:21:38.959140
